Word,Translation,Part of Speech,Example Sentence,Example Translation
circumstance,สถานการณ์,n.,"""He can cite numerous examples to support his argument.""","""เขาสามารถยกตัวอย่างมากมายเพื่อสนับสนุนข้อโต้แย้งของเขา"""
cite,อ้างอิง,v.,"""Being a responsible citizen is important.""","""การเป็นพลเมืองที่มีความรับผิดชอบเป็นสิ่งสำคัญ"""
citizen,พลเมือง,n.,"""Civil rights are fundamental to a just society.""","""สิทธิพลเมืองเป็นพื้นฐานของสังคมที่ยุติธรรม"""
civil,พลเรือน,adj.,"""The classic novel is a timeless masterpiece.""","""นวนิยายคลาสสิกเป็นผลงานชิ้นเอกเหนือกาลเวลา"""
classic,คลาสสิค,adj./ n.,"""The two concepts are closely related.""","""แนวคิดทั้งสองมีความเกี่ยวข้องกันอย่างใกล้ชิด"""
closely,อย่างใกล้ชิด,adv.,"""The building's collapse was a tragic event.""","""การพังทลายของอาคารถือเป็นเหตุการณ์ที่น่าสลดใจ"""
collapse,ทรุด,v./ n.,"""The combination of flavors was delicious.""","""การผสมผสานของรสชาติก็อร่อย"""
combination,การผสมผสาน,n.,"""He found comfort in the familiar surroundings.""","""เขาพบความสะดวกสบายในสภาพแวดล้อมที่คุ้นเคย"""
comfort,ปลอบโยน,n./ v.,"""She has a commanding presence in the boardroom.""","""เธอมีความเป็นผู้นำในห้องประชุม"""
command,สั่งการ,n./ v.,"""He received a commission for his artwork.""","""เขาได้รับค่าคอมมิชชั่นสำหรับงานศิลปะของเขา"""
commission,คณะกรรมการ,n./ v.,"""Her commitment to the cause is unwavering.""","""ความมุ่งมั่นของเธอต่อสาเหตุนั้นไม่เปลี่ยนแปลง"""
commitment,ความมุ่งมั่น,n.,"""The committee discussed the proposed changes.""","""คณะกรรมการได้หารือเกี่ยวกับการเปลี่ยนแปลงที่เสนอ"""
committee,คณะกรรมการ,n.,"""This type of problem commonly arises in math.""","""ปัญหาประเภทนี้มักเกิดขึ้นในวิชาคณิตศาสตร์"""
commonly,อย่างธรรมดา,adv.,"""The task is more complex than it seems.""","""งานมีความซับซ้อนมากกว่าที่คิด"""
complex,ซับซ้อน,n.,"""The instructions are complicated to follow.""","""คำแนะนำมีความซับซ้อนในการปฏิบัติตาม"""
complicated,ที่ซับซ้อน,adj.,"""The engine is a vital component of the car.""","""เครื่องยนต์ถือเป็นองค์ประกอบสำคัญของรถยนต์"""
component,ส่วนประกอบ,n.,"""Her concentration wavered as the noise continued.""","""สมาธิของเธอสั่นคลอนขณะที่เสียงดังยังคงดำเนินต่อไป"""
concentration,ความเข้มข้น,n.,"""The concept of time is abstract.""","""แนวคิดเรื่องเวลาเป็นนามธรรม"""
concept,แนวคิด,n.,"""Your concern for others is admirable.""","""ความห่วงใยของคุณต่อผู้อื่นเป็นสิ่งที่น่าชื่นชม"""
concern,กังวล,n./ v.,"""I'm concerned about the safety of the neighborhood.""","""ฉันกังวลเกี่ยวกับความปลอดภัยของบริเวณใกล้เคียง"""
concerned,น่ากังวล,adj.,"""She is deeply concerned about the environment.""","""เธอมีความกังวลอย่างมากเกี่ยวกับสิ่งแวดล้อม"""
conduct,จัดการ,v./ n.,"""He will conduct the orchestra at the concert.""","""เขาจะเป็นผู้ควบคุมวงออเคสตราในคอนเสิร์ต"""
confidence,ความมั่นใจ,n.,"""Confidence in oneself is essential for success.""","""ความมั่นใจในตนเองเป็นสิ่งสำคัญสำหรับความสำเร็จ"""
conflict,ขัดแย้ง,n./ v.,"""The conflict between the two nations escalated.""","""ความขัดแย้งระหว่างทั้งสองประเทศรุนแรงขึ้น"""
confusing,สับสน,adj.,"""The instructions were confusing and unclear.""","""คำแนะนำมีความสับสนและไม่ชัดเจน"""
conscious,มีสติ,adj.,"""Are you conscious of your actions?""","""คุณตระหนักถึงการกระทำของคุณหรือไม่?"""
conservative,ซึ่งอนุรักษ์นิยม,adj./ n.,"""He holds conservative views on social issues.""","""เขามีมุมมองอนุรักษ์นิยมในประเด็นทางสังคม"""
consideration,การพิจารณา,n.,"""Take careful consideration before making a decision.""","""พิจารณาให้รอบคอบก่อนตัดสินใจ"""
consistent,สม่ำเสมอ,adj.,"""His consistent effort paid off in the end.""","""ความพยายามอย่างต่อเนื่องของเขาได้รับผลในที่สุด"""
constant,คงที่,adj.,"""The constant noise in the city can be overwhelming.""","""เสียงรบกวนในเมืองอาจล้นหลามได้"""
constantly,อย่างสม่ำเสมอ,adv.,"""She constantly strives to improve herself.""","""เธอพยายามปรับปรุงตัวเองอย่างต่อเนื่อง"""
construct,สร้าง,v.,"""They will construct a new building downtown.""","""พวกเขาจะสร้างอาคารใหม่ใจกลางเมือง"""
construction,การก่อสร้าง,n.,"""The construction of the bridge is progressing well.""","""การก่อสร้างสะพานมีความคืบหน้าไปด้วยดี"""
contemporary,ร่วมสมัย,adj.,"""Contemporary art challenges traditional norms.""","""ศิลปะร่วมสมัยท้าทายบรรทัดฐานดั้งเดิม"""
contest,การประกวด,n./ v.,"""The contest will determine the winner.""","""การแข่งขันจะตัดสินผู้ชนะ"""
contract,สัญญา,n./ v.,"""They signed a contract for the project.""","""พวกเขาเซ็นสัญญาสำหรับโครงการนี้"""
contribute,มีส่วนช่วย,v.,"""He wanted to contribute to the community.""","""เขาต้องการมีส่วนร่วมในชุมชน"""
contribution,ผลงาน,n.,"""Her contribution to the team was significant.""","""การมีส่วนร่วมของเธอต่อทีมมีความสำคัญ"""
convert,แปลง,v.,"""They plan to convert the old factory into a museum.""","""พวกเขาวางแผนที่จะเปลี่ยนโรงงานเก่าให้เป็นพิพิธภัณฑ์"""
convinced,มั่นใจ,adj.,"""I'm convinced that he will succeed.""","""ฉันมั่นใจว่าเขาจะประสบความสำเร็จ"""
core,แกนกลาง,n./ adj.,"""The core of the issue lies in communication.""","""แก่นของปัญหาอยู่ที่การสื่อสาร"""
corporate,ขององค์กร,adj.,"""The corporate world can be competitive.""","""โลกธุรกิจสามารถแข่งขันได้"""
council,สภา,n.,"""The city council discussed urban planning.""","""สภาเทศบาลเมืองได้หารือเกี่ยวกับการวางผังเมือง"""
county,เขต,n.,"""He represents the county in the state legislature.""","""เขาเป็นตัวแทนของเคาน์ตีในสภานิติบัญญัติแห่งรัฐ"""
courage,ความกล้าหาญ,n.,"""His courage in facing adversity was admirable.""","""ความกล้าหาญของเขาในการเผชิญกับความยากลำบากเป็นสิ่งที่น่าชื่นชม"""
crash,ชน,n./ v.,"""The car suffered a minor crash.""","""รถได้รับอุบัติเหตุเล็กน้อย."""
creation,การสร้าง,n.,"""The creation of art is a personal journey.""","""การสร้างสรรค์งานศิลปะคือการเดินทางส่วนตัว"""
creature,สิ่งมีชีวิต,n.,"""The forest is home to many creatures.""","""ป่าเป็นที่อยู่อาศัยของสิ่งมีชีวิตมากมาย"""
credit,เครดิต,v.,"""She received credit for her hard work.""","""เธอได้รับเครดิตจากการทำงานหนักของเธอ"""
crew,ลูกทีม,n.,"""The film crew arrived on set early.""","""ทีมงานภาพยนตร์มาถึงกองถ่ายก่อนเวลา"""
crisis,วิกฤติ,n.,"""The economic crisis affected many businesses.""","""วิกฤตเศรษฐกิจส่งผลกระทบต่อธุรกิจจำนวนมาก"""
criterion,เกณฑ์,n.,"""Meeting the criteria is essential for admission.""","""การมีคุณสมบัติตรงตามเกณฑ์ถือเป็นสิ่งสำคัญสำหรับการเข้าศึกษา"""
critic,นักวิจารณ์,n.,"""The movie critic gave it a positive review.""","""นักวิจารณ์ภาพยนตร์ให้คำวิจารณ์เชิงบวก"""
critical,วิกฤต,adj.,"""Critical thinking is a valuable skill.""","""การคิดอย่างมีวิจารณญาณเป็นทักษะที่มีคุณค่า"""
criticism,การวิพากษ์วิจารณ์,n.,"""Constructive criticism helps us improve.""","""คำวิจารณ์ที่สร้างสรรค์ช่วยให้เราปรับปรุง"""
criticize,วิจารณ์,v.,"""The farmers harvested the crop in the fall.""","""ชาวนาเก็บเกี่ยวพืชผลในฤดูใบไม้ร่วง"""
crop,ครอบตัด,n.,"""It's crucial to follow safety guidelines.""","""การปฏิบัติตามหลักเกณฑ์ด้านความปลอดภัยเป็นสิ่งสำคัญ"""
crucial,สำคัญ,adj.,"""Don't cry; everything will be okay.""","""อย่าร้องไห้นะ ทุกอย่างจะโอเค"""
cry,ร้องไห้,n.,"""Researchers are working on a cure for the disease.""","""นักวิจัยกำลังทำงานเพื่อรักษาโรคนี้"""
cure,รักษา,v./ n.,"""The current in the river is strong.""","""กระแสน้ำในแม่น้ำมีกำลังแรง"""
current,ปัจจุบัน,n.,"""The road takes a sharp curve ahead.""","""ถนนข้างหน้ามีโค้งหักศอก"""
curve,เส้นโค้ง,n./ v.,"""She painted a beautiful curved line.""","""เธอวาดเส้นโค้งที่สวยงาม"""
curved,โค้ง,adj,"""Let's set a date for our meeting.""","""เรามากำหนดวันประชุมกันเถอะ"""
date,วันที่,v.,"""They will debate the proposed legislation.""","""พวกเขาจะอภิปรายร่างกฎหมายที่เสนอ"""
debate,อภิปราย,n./ v.,"""Paying off the debt will take time.""","""การชำระหนี้ต้องใช้เวลา"""
debt,หนี้,n.,"""He's a decent person with good values.""","""เป็นคนมีคุณธรรมและมีคุณค่า"""
decent,เหมาะสม,adj.,"""Declare your intentions before proceeding.""","""ประกาศเจตนารมณ์ของคุณก่อนดำเนินการต่อ"""
declare,ประกาศ,v,"""The decline in sales is concerning.""","""ยอดขายที่ลดลงเป็นเรื่องที่น่ากังวล"""
decline,ปฏิเสธ,v./ n.,"""The decoration added a festive touch.""","""การตกแต่งเพิ่มสัมผัสแห่งเทศกาล"""
decoration,การตกแต่ง,n.,"""We need to decrease our energy consumption.""","""เราจำเป็นต้องลดการใช้พลังงานของเรา"""
decrease,ลด,v./ n.,"""To combat climate change, we need to decrease our carbon emissions.""","""เพื่อต่อสู้กับการเปลี่ยนแปลงสภาพภูมิอากาศ เราจำเป็นต้องลดการปล่อยก๊าซคาร์บอน"""
deeply,อย่างลึกซึ้ง,adv.,"""She is deeply passionate about environmental conservation.""","""เธอมีความหลงใหลในการอนุรักษ์สิ่งแวดล้อมอย่างลึกซึ้ง"""
defeat,ความพ่ายแพ้,v./ n.,"""They fought hard but suffered a defeat in the final match.""","""พวกเขาต่อสู้อย่างหนักแต่ก็พ่ายแพ้ในนัดสุดท้าย"""
defence,ป้องกัน,n.,"""The defense attorney presented a strong case.""","""ทนายฝ่ายจำเลยเสนอคดีที่หนักแน่น"""
defend,ปกป้อง,v.,"""He will defend his title in the championship.""","""เขาจะป้องกันตำแหน่งแชมป์ของเขา"""
delay,ล่าช้า,v./ n.,"""The delay in the train schedule caused inconvenience.""","""ตารางรถไฟล่าช้าทำให้เกิดความไม่สะดวก"""
deliberate,โดยเจตนา,adj.,"""Their deliberate actions were intended to deceive.""","""การกระทำโดยเจตนาของพวกเขามีจุดมุ่งหมายเพื่อหลอกลวง"""
deliberately,จงใจ,adv.,"""She deliberately left her phone at home.""","""เธอจงใจทิ้งโทรศัพท์ไว้ที่บ้าน"""
delight,ความสุข,v./ n.,"""The surprise party was a delightful experience.""","""ปาร์ตี้เซอร์ไพรส์เป็นประสบการณ์ที่น่ายินดี"""
delighted,ดีใจ,adj.,"""He was delighted by the unexpected gift.""","""เขารู้สึกยินดีกับของขวัญที่ไม่คาดคิด"""
delivery,จัดส่ง,n.,"""The delivery of the package will arrive tomorrow.""","""พัสดุจะถึงพรุ่งนี้ครับ"""
demand,ความต้องการ,n./ v.,"""There's a high demand for the new product.""","""มีความต้องการผลิตภัณฑ์ใหม่สูง"""
demonstrate,สาธิต,v.,"""The protesters will demonstrate for their rights.""","""ผู้ประท้วงจะสาธิตเพื่อสิทธิของตน"""
deny,ปฏิเสธ,v.,"""He chose to deny any involvement in the incident.""","""เขาเลือกที่จะปฏิเสธการมีส่วนร่วมใดๆ ในเหตุการณ์นี้"""
depressed,หดหู่,adj.,"""She felt depressed after the loss.""","""เธอรู้สึกหดหู่หลังจากการสูญเสีย"""
depressing,ตกต่ำ,adj.,"""The rainy weather had a depressing effect.""","""สภาพอากาศที่ฝนตกมีผลกระทบที่น่าหดหู่"""
depth,ความลึก,n.,"""The ocean's depth is unfathomable.""","""ความลึกของมหาสมุทรนั้นไม่อาจหยั่งรู้ได้"""
desert,ทะเลทราย,v.,"""The desert is a harsh and arid environment.""","""ทะเลทรายเป็นสภาพแวดล้อมที่รุนแรงและแห้งแล้ง"""
deserve,สมควรได้รับ,v.,"""You deserve recognition for your hard work.""","""คุณสมควรได้รับการยอมรับสำหรับการทำงานหนักของคุณ"""
desire,ความต้องการ,n./ v.,"""His desire for knowledge led to a successful career.""","""ความปรารถนาในความรู้ของเขานำไปสู่ความสำเร็จในอาชีพการงาน"""
desperate,หมดหวัง,adj.,"""In a desperate situation, people may take drastic measures.""","""ในสถานการณ์ที่สิ้นหวัง ผู้คนอาจใช้มาตรการที่รุนแรง"""
detail,รายละเอียด,v.,"""Pay attention to every detail in the report.""","""ใส่ใจทุกรายละเอียดในรายงาน"""
detailed,รายละเอียด,adj.,"""The detective tried to detect any clues.""","""นักสืบพยายามสืบหาเบาะแสใดๆ"""
detect,ตรวจจับ,v.,"""We need to dig a hole for the tree.""","""เราต้องขุดหลุมสำหรับต้นไม้"""
dig,ขุด,v.,"""The disc contained important data.""","""แผ่นดิสก์มีข้อมูลสำคัญ"""
disc,แผ่นดิสก์,n.,"""Discipline is essential for success.""","""วินัยเป็นสิ่งสำคัญสำหรับความสำเร็จ"""
discipline,การลงโทษ,n.,"""They offered a discount on the product.""","""พวกเขาเสนอส่วนลดสำหรับผลิตภัณฑ์"""
discount,การลดราคา,v.,"""Being dishonest will damage your reputation.""","""การไม่ซื่อสัตย์จะทำลายชื่อเสียงของคุณ"""
dishonest,ไม่ซื่อสัตย์,adj.,"""The manager had to dismiss the employee.""","""ผู้จัดการต้องไล่พนักงานออก"""
dismiss,อนุญาตให้ออกไป,v.,"""The art display featured various paintings.""","""จัดแสดงงานศิลปะด้วยภาพวาดต่างๆ"""
display,แสดง,v./ n.,"""They will distribute food to the needy.""","""พวกเขาจะแจกจ่ายอาหารให้กับคนขัดสน"""
distribute,แจกจ่าย,v.,"""The distribution of resources is equitable.""","""การกระจายทรัพยากรเป็นไปอย่างเท่าเทียมกัน"""
distribution,การกระจาย,n.,"""This district is known for its historical landmarks.""","""เขตนี้ขึ้นชื่อในเรื่องสถานที่สำคัญทางประวัติศาสตร์"""
district,เขต,n.,"""Let's divide the tasks among the team members.""","""มาแบ่งงานกันในหมู่สมาชิกในทีม"""
divide,แบ่ง,n.,"""The division of labor improves efficiency.""","""การแบ่งแยกแรงงานช่วยเพิ่มประสิทธิภาพ"""
division,แผนก,n.,"""Please provide a copy of the document.""","""กรุณาส่งสำเนาเอกสาร"""
document,เอกสาร,v.,"""Domestic issues should be addressed first.""","""ปัญหาภายในประเทศควรได้รับการแก้ไขก่อน"""
domestic,ภายในประเทศ,adj.,"""The giant corporation can dominate the market.""","""บริษัทยักษ์ใหญ่สามารถครองตลาดได้"""
dominate,ครอง,v.,"""The elevator moved downwards.""","""ลิฟต์เคลื่อนตัวลงมา"""
downwards,ลง,adv.,"""He bought a dozen donuts for the office.""","""เขาซื้อโดนัทหนึ่งโหลสำหรับออฟฟิศ"""
dozen,โหล,n./ det.,"""She wrote a draft of her speech.""","""เธอเขียนร่างสุนทรพจน์ของเธอ"""
draft,ร่าง,n./ v.,"""Don't drag your feet; let's get going.""","""อย่าลากเท้าของคุณ ไปกันเลย"""
drag,ลาก,v.,"""The play had a dramatic twist.""","""ละครเรื่องนี้มีจุดพลิกผันอย่างมาก"""
dramatic,น่าทึ่ง,adj.,"""The dairy produces fresh milk daily.""","""ผลิตภัณฑ์นมผลิตนมสดทุกวัน"""
dairy,ผลิตภัณฑ์นม,n./ adj.,"""I dare you to try the spicy food.""","""ฉันท้าให้คุณลองอาหารรสเผ็ด"""
dare,กล้า,v.,"""The darkness of the night was eerie.""","""ความมืดยามค่ำคืนนั้นน่าขนลุก"""
darkness,ความมืด,n.,"""They organized the data in a database.""","""พวกเขาจัดระเบียบข้อมูลในฐานข้อมูล"""
database,ฐานข้อมูล,n.,"""The deadline for the project is approaching.""","""ใกล้ถึงกำหนดเวลาของโครงการแล้ว"""
deadline,วันกำหนดส่ง,n.,"""The snake's venom is deadly.""","""พิษงูมีพิษร้ายแรง"""
deadly,ร้ายแรง,adj.,"""The car dealer offered a discount on the new model.""","""ตัวแทนจำหน่ายรถยนต์เสนอส่วนลดสำหรับรถรุ่นใหม่"""
dealer,ตัวแทนจำหน่าย,n.,"""The car dealer offered a great deal on the new vehicle.""","""ตัวแทนจำหน่ายรถยนต์เสนอข้อเสนอมากมายเกี่ยวกับรถยนต์ใหม่"""
deck,ดาดฟ้า,n.,"""They gathered on the deck of the ship.""","""พวกเขารวมตัวกันบนดาดฟ้าเรือ"""
defender,ผู้ปกป้อง,n.,"""The defender blocked the opponent's shot.""","""กองหลังสกัดกั้นการยิงของคู่ต่อสู้"""
delete,ลบ,v.,"""You can delete the unwanted files from your computer.""","""คุณสามารถลบไฟล์ที่ไม่ต้องการออกจากคอมพิวเตอร์ของคุณได้"""
democracy,ประชาธิปไตย,n.,"""Democracy allows citizens to participate in decision-making.""","""ประชาธิปไตยเปิดโอกาสให้ประชาชนมีส่วนร่วมในการตัดสินใจ"""
democratic,ประชาธิปไตย,adj.,"""In a democratic society, people have a voice.""","""ในสังคมประชาธิปไตย ประชาชนมีสิทธิมีเสียง"""
demonstration,สาธิต,n.,"""The peaceful demonstration drew a large crowd.""","""การชุมนุมโดยสันติดึงดูดฝูงชนจำนวนมาก"""
depart,ออกเดินทาง,v.,"""He will depart for his vacation tomorrow.""","""เขาจะออกเดินทางพักผ่อนพรุ่งนี้"""
dependent,ขึ้นอยู่กับ,adj.,"""Children are often dependent on their parents.""","""ลูกมักต้องพึ่งพาพ่อแม่"""
deposit,เงินฝาก,n.,"""You can make a deposit at the bank.""","""คุณสามารถฝากเงินได้ที่ธนาคาร"""
depression,ภาวะซึมเศร้า,n.,"""Depression can affect a person's mental health.""","""อาการซึมเศร้าอาจส่งผลต่อสุขภาพจิตของบุคคลได้"""
derive,ได้มา,v.,"""Many scientific discoveries are derived from research.""","""การค้นพบทางวิทยาศาสตร์มากมายได้มาจากการวิจัย"""
desperately,หมดท่า,adv.,"""She desperately wanted to succeed.""","""เธออยากจะประสบความสำเร็จอย่างยิ่ง"""
destruction,การทำลาย,n.,"""The natural disaster caused widespread destruction.""","""ภัยพิบัติทางธรรมชาติทำให้เกิดการทำลายล้างอย่างกว้างขวาง"""
determination,การกำหนด,n.,"""Her determination led to her success.""","""ความมุ่งมั่นของเธอนำไปสู่ความสำเร็จของเธอ"""
devote,อุทิศ,v.,"""He will devote his time to charity work.""","""เขาจะอุทิศเวลาให้กับงานการกุศล"""
differ,แตกต่าง,v.,"""People may differ in their opinions.""","""ผู้คนอาจมีความคิดเห็นที่แตกต่างกัน"""
disability,ความพิการ,n.,"""He overcame his disability with determination.""","""เขาเอาชนะความพิการด้วยความมุ่งมั่น"""
disabled,พิการ,adj.,"""The organization helps disabled individuals.""","""องค์กรช่วยเหลือผู้พิการ"""
disagreement,ความไม่เห็นด้วย,n.,"""The disagreement led to a heated argument.""","""ความขัดแย้งนำไปสู่การโต้เถียงกันอย่างดุเดือด"""
disappoint,ผิดหวัง,v.,"""I hope I don't disappoint you.""","""ฉันหวังว่าฉันจะไม่ทำให้คุณผิดหวัง"""
disappointment,ความผิดหวัง,n.,"""His disappointment was evident on his face.""","""ความผิดหวังของเขาปรากฏชัดบนใบหน้าของเขา"""
discourage,กีดกัน,v.,"""Don't let setbacks discourage you.""","""อย่าปล่อยให้ความพ่ายแพ้ทำให้คุณท้อใจ"""
disorder,ความผิดปกติ,n.,"""The disorder in the room needed to be cleaned.""","""ความผิดปกติในห้องจำเป็นต้องทำความสะอาด"""
distant,ห่างไกล,adj,"""The mountain range seemed distant.""","""ทิวเขาดูห่างไกล"""
distinct,แตกต่าง,adj.,"""The two species have distinct characteristics.""","""ทั้งสองสายพันธุ์มีลักษณะเฉพาะที่แตกต่างกัน"""
distinguish,แยกแยะ,v.,"""Can you distinguish between the two wines?""","""คุณสามารถแยกความแตกต่างระหว่างไวน์ทั้งสองได้หรือไม่?"""
distract,กวนใจ,v.,"""Please don't distract me while I'm working.""","""โปรดอย่ารบกวนฉันในขณะที่ฉันทำงาน"""
disturb,รบกวน,v.,"""The loud noise started to disturb the peace.""","""เสียงดังเริ่มรบกวนความสงบสุข"""
dive,ดำน้ำ,v./ n.,"""They decided to take a dive in the ocean.""","""พวกเขาตัดสินใจไปดำน้ำในมหาสมุทร"""
diverse,หลากหลาย,adj.,"""The city's population is diverse.""","""ประชากรของเมืองมีความหลากหลาย"""
diversity,ความหลากหลาย,n.,"""Cultural diversity enriches our society.""","""ความหลากหลายทางวัฒนธรรมทำให้สังคมของเราสมบูรณ์"""
divorce,หย่า,n./ v.,"""Their divorce was amicable.""","""การหย่าร้างของพวกเขาเป็นไปอย่างฉันมิตร"""
dominant,ที่เด่น,adj.,"""English is the dominant language in this region.""","""ภาษาอังกฤษเป็นภาษาที่โดดเด่นในภูมิภาคนี้"""
donation,การบริจาค,n.,"""The charity received a generous donation.""","""องค์กรการกุศลได้รับเงินบริจาคอย่างล้นหลาม"""
dot,จุด,n.,"""Mark the location with a red dot.""","""ทำเครื่องหมายสถานที่ด้วยจุดสีแดง"""
downtown,ตัวเมือง,n./ adj./ adv.,"""Downtown is bustling with activity.""","""ตัวเมืองคึกคักไปด้วยกิจกรรม"""
dramatically,อย่างมาก,adv.,"""The price of the product dropped dramatically.""","""ราคาสินค้าลดลงอย่างมาก"""
drought,ความแห้งแล้ง,n.,"""The region experienced a severe drought.""","""ภูมิภาคประสบภัยแล้งอย่างรุนแรง"""
dull,น่าเบื่อ,adj.,"""The lecture was dull and uninspiring.""","""การบรรยายน่าเบื่อและไม่น่าสนใจ"""
dump,ถ่ายโอนข้อมูล,v.,"""They decided to dump their old furniture.""","""พวกเขาตัดสินใจทิ้งเฟอร์นิเจอร์เก่าของตน"""
duration,ระยะเวลา,n.,"""The duration of the movie is two hours.""","""ระยะเวลาของภาพยนตร์คือสองชั่วโมง"""
dynamic,พลวัต,ad,"""The dynamic leader inspired his team.""","""ผู้นำที่กระตือรือร้นเป็นแรงบันดาลใจให้กับทีมของเขา"""
edit,แก้ไข,v.,"""She helped edit the manuscript.""","""เธอช่วยแก้ไขต้นฉบับ"""
edition,ฉบับ,n.,"""The latest edition of the book is available.""","""หนังสือฉบับล่าสุดวางจำหน่ายแล้ว"""
efficient,มีประสิทธิภาพ,adj.,"""Energy-efficient appliances save electricity.""","""เครื่องใช้ไฟฟ้าประหยัดพลังงานประหยัดพลังงานไฟฟ้า"""
elderly,ผู้สูงอายุ,adj.,"""The elderly woman needed assistance.""","""หญิงสูงอายุต้องการความช่วยเหลือ"""
elect,เลือก,v.,"""Citizens will elect their representatives.""","""ประชาชนจะเลือกผู้แทนของตน"""
elsewhere,ที่อื่น,adv.,"""Let's explore elsewhere for our vacation.""","""ไปเที่ยวพักผ่อนที่อื่นกันดีกว่า"""
emerge,โผล่ออกมา,v.,"""New opportunities may emerge in unexpected places.""","""โอกาสใหม่ๆ อาจเกิดขึ้นในสถานที่ที่ไม่คาดคิด"""
emotional,ทางอารมณ์,adj.,"""She became emotional when she heard the news.""","""เธอมีอารมณ์เมื่อได้ยินข่าว"""
emphasis,เน้น,n.,"""The emphasis is on teamwork in this project.""","""เน้นการทำงานเป็นทีมในโครงการนี้"""
emphasize,เน้นย้ำ,v.,"""Let's emphasize the importance of punctuality.""","""มาเน้นย้ำถึงความสำคัญของการตรงต่อเวลา"""
enable,เปิดใช้งาน,v.,"""Technology can enable us to achieve great things.""","""เทคโนโลยีสามารถช่วยให้เราบรรลุสิ่งที่ยิ่งใหญ่ได้"""
encounter,เผชิญ,v./ n.,"""We might encounter some challenges along the way.""","""เราอาจเผชิญกับความท้าทายบางอย่างระหว่างทาง"""
engage,หมั้น,v.,"""It's essential to engage with your audience.""","""การมีส่วนร่วมกับผู้ชมเป็นสิ่งสำคัญ"""
enhance,ยกระดับ,v.,"""Regular exercise can enhance your overall health.""","""การออกกำลังกายเป็นประจำสามารถช่วยให้สุขภาพโดยรวมของคุณดีขึ้นได้"""
enquiry,สอบถามรายละเอียดเพิ่มเติม,n.,"""He sent an enquiry to inquire about the product.""","""เขาส่งคำถามเพื่อสอบถามเกี่ยวกับผลิตภัณฑ์"""
ensure,ทำให้มั่นใจ,v.,"""We need to ensure everyone's safety.""","""เราจำเป็นต้องรับรองความปลอดภัยของทุกคน"""
enthusiasm,ความกระตือรือร้น,n.,"""Her enthusiasm for the project is contagious.""","""ความกระตือรือร้นของเธอสำหรับโครงการนี้ติดต่อได้"""
enthusiastic,กระตือรือร้น,adj.,"""The team is enthusiastic about the upcoming event.""","""ทีมงานมีความกระตือรือร้นเกี่ยวกับงานที่จะเกิดขึ้น"""
entire,ทั้งหมด,adj.,"""The entire family gathered for the celebration.""","""ทั้งครอบครัวมารวมตัวกันเพื่อเฉลิมฉลอง"""
entirely,โดยสิ้นเชิง,adv.,"""The task was entirely completed on time.""","""งานเสร็จตรงเวลาทั้งหมด"""
equal,เท่ากัน,n.,"""All employees are equal in the company.""","""พนักงานทุกคนมีความเท่าเทียมกันในบริษัท"""
establish,สร้าง,v.,"""They plan to establish a new business.""","""พวกเขาวางแผนที่จะสร้างธุรกิจใหม่"""
estate,อสังหาริมทรัพย์,n.,"""The estate is vast and beautiful.""","""ที่ดินกว้างขวางและสวยงาม"""
estimate,ประมาณการ,v./ n,"""Can you estimate the cost of the project?""","""คุณสามารถประมาณต้นทุนของโครงการได้หรือไม่?"""
edit,แก้ไข,v.,"""Let's edit the document for errors.""","""มาแก้ไขเอกสารเพื่อหาข้อผิดพลาด"""
edition,ฉบับ,n.,"""The latest edition of the book is available.""","""หนังสือฉบับล่าสุดวางจำหน่ายแล้ว"""
efficient,มีประสิทธิภาพ,adj.,"""Energy-efficient appliances save electricity.""","""เครื่องใช้ไฟฟ้าประหยัดพลังงานประหยัดพลังงานไฟฟ้า"""
elderly,ผู้สูงอายุ,adj.,"""The elderly woman needed assistance.""","""หญิงสูงอายุต้องการความช่วยเหลือ"""
elect,เลือก,v.,"""Citizens will elect their representatives.""","""ประชาชนจะเลือกผู้แทนของตน"""
elsewhere,ที่อื่น,adv.,"""Let's explore elsewhere for our vacation.""","""ไปเที่ยวพักผ่อนที่อื่นกันดีกว่า"""
emerge,โผล่ออกมา,v.,"""New opportunities may emerge in unexpected places.""","""โอกาสใหม่ๆ อาจเกิดขึ้นในสถานที่ที่ไม่คาดคิด"""
emotional,ทางอารมณ์,adj.,"""She emerged as a leader in her field.""","""เธอกลายเป็นผู้นำในสาขาของเธอ"""
emphasis,เน้น,n.,"""The emphasis is on teamwork in this project.""","""เน้นการทำงานเป็นทีมในโครงการนี้"""
emphasize,เน้นย้ำ,v.,"""Let's emphasize the importance of punctuality.""","""มาเน้นย้ำถึงความสำคัญของการตรงต่อเวลา"""
enable,เปิดใช้งาน,v.,"""Technology can enable us to achieve great things.""","""เทคโนโลยีสามารถช่วยให้เราบรรลุสิ่งที่ยิ่งใหญ่ได้"""
encounter,เผชิญ,v./ n.,"""We might encounter some challenges along the way.""","""เราอาจเผชิญกับความท้าทายบางอย่างระหว่างทาง"""
engage,หมั้น,v.,"""It's essential to engage with your audience.""","""การมีส่วนร่วมกับผู้ชมเป็นสิ่งสำคัญ"""
enhance,ยกระดับ,v.,"""Regular exercise can enhance your overall health.""","""การออกกำลังกายเป็นประจำสามารถช่วยให้สุขภาพโดยรวมของคุณดีขึ้นได้"""
