Word,Translation,Part of Speech,Example Sentence,Translation
deficiency,ขาด,n.,The deficiency in his diet affected his health.,การขาดอาหารส่งผลต่อสุขภาพของเขา
deficit,การขาดดุล,n.,The budget had a significant deficit.,งบประมาณมีการขาดดุลอย่างมาก
defy,ท้า,v.,He dared to defy the odds and succeed.,เขากล้าที่จะท้าทายโอกาสและประสบความสำเร็จ
delegate,ผู้รับมอบสิทธิ์,n.,The delegation arrived for the diplomatic talks.,คณะผู้แทนเดินทางมาเพื่อร่วมการเจรจาทางการทูต
delicate,ละเอียดอ่อน,adj.,Handle the fragile items with delicate care.,จัดการกับสิ่งของที่เปราะบางด้วยความระมัดระวัง
demon,ปีศาจ,n.,Some people believe in the existence of demons.,บางคนเชื่อเรื่องการมีอยู่ของปีศาจ
denial,การปฏิเสธ,n.,The denial of his involvement surprised everyone.,การปฏิเสธการมีส่วนร่วมของเขาทำให้ทุกคนประหลาดใจ
denounce,ประณาม,v.,The activist denounced the government's actions as unjust.,นักเคลื่อนไหวประณามการกระทำของรัฐบาลว่าไม่ยุติธรรม
dense,หนาแน่น,adj.,The forest was so dense you could barely see.,ป่าทึบจนแทบมองไม่เห็น
dependence,การพึ่งพาอาศัยกัน,n.,Our dependence on technology keeps growing.,การพึ่งพาเทคโนโลยีของเราเพิ่มขึ้นเรื่อยๆ
depict,พรรณนา,v.,The painting beautifully depicts a serene landscape.,ภาพวาดแสดงถึงทิวทัศน์อันเงียบสงบอย่างสวยงาม
deploy,ปรับใช้,v.,The army will deploy troops to the border.,กองทัพจะจัดกำลังทหารไปชายแดน
deployment,การใช้งาน,n.,The deployment of soldiers is imminent.,ใกล้จะส่งกำลังทหารแล้ว
deposit,เงินฝาก,v.,She made a deposit at the bank yesterday.,เธอฝากเงินที่ธนาคารเมื่อวานนี้
deprive,กีดกัน,v.,They tried to deprive him of his rights.,พวกเขาพยายามลิดรอนสิทธิของเขา
deputy,รอง,n.,The deputy sheriff arrived at the scene.,รองนายอำเภอมาถึงที่เกิดเหตุ
descend,ลงมา,v.,The sun will descend below the horizon soon.,พระอาทิตย์จะลับขอบฟ้าในไม่ช้า
designate,กำหนด,v.,We'll designate a leader for the project.,เราจะแต่งตั้งผู้นำสำหรับโครงการ
desirable,ที่พึงปรารถนา,adj.,A reliable internet connection is desirable.,การเชื่อมต่ออินเทอร์เน็ตที่เชื่อถือได้เป็นที่ต้องการ
desktop,เดสก์ท็อป,n.,My desktop computer is quite old.,คอมพิวเตอร์เดสก์ท็อปของฉันค่อนข้างเก่า
destructive,ทำลายล้าง,adj.,The storm had a destructive impact on the town.,พายุส่งผลกระทบเสียหายต่อเมือง
detain,กักขัง,v.,The police had to detain the suspect.,ตำรวจต้องควบคุมตัวผู้ต้องสงสัย
detection,การตรวจจับ,n.,The detection of the virus was crucial.,การตรวจหาไวรัสเป็นสิ่งสำคัญ
detention,การคุมขัง,n.,He was placed in detention for his actions.,เขาถูกควบคุมตัวจากการกระทำของเขา
deteriorate,เสื่อมโทรม,v.,The quality of the product continues to deteriorate.,คุณภาพของผลิตภัณฑ์ยังคงลดลงอย่างต่อเนื่อง
devastate,ทำลายล้าง,v.,The news of the accident devastated me.,ข่าวอุบัติเหตุทำให้ฉันเสียใจมาก
devil,ปีศาจ,n.,I don't believe in the existence of the devil.,ฉันไม่เชื่อเรื่องการมีอยู่ของปีศาจ
devise,ประดิษฐ์,v., We need to devise a plan for the project., เราจำเป็นต้องวางแผนสำหรับโครงการ
diagnose,วินิจฉัย,v.,The doctor will diagnose your condition.,แพทย์จะวินิจฉัยอาการของคุณ
diagnosis,การวินิจฉัย,n.,Did the doctor give you a clear diagnosis?,คุณหมอวินิจฉัยชัดเจนมั้ย?
dictate,กำหนด,v.,I will dictate the meeting minutes.,ฉันจะเป็นผู้กำหนดรายงานการประชุม
dictator,เผด็จการ,n.,The dictator ruled the country with an iron fist.,เผด็จการปกครองประเทศด้วยกำปั้นเหล็ก
differentiate,แตกต่าง,v.,Can you differentiate between the two options?,คุณสามารถแยกความแตกต่างระหว่างสองตัวเลือกได้หรือไม่?
dignity,ศักดิ์ศรี,n.,We should always treat others with dignity.,เราควรปฏิบัติต่อผู้อื่นอย่างมีศักดิ์ศรีเสมอ
dilemma,ภาวะที่กลืนไม่เข้าคายไม่ออก,n.,I'm in a dilemma; I don't know what to choose.,ฉันอยู่ในภาวะที่กลืนไม่เข้าคายไม่ออก ฉันไม่รู้ว่าจะเลือกอะไร
dimension,มิติ,n.,The room's dimensions are 10 feet by 12 feet.,ขนาดของห้องคือ 10 x 12 ฟุต
diminish,ลดน้อยลง,v.,I will not diminish my efforts.,ฉันจะไม่ลดความพยายามของฉันลง
dip,จุ่ม,v.,Did you dip your fries in ketchup?,คุณจุ่มมันฝรั่งทอดในซอสมะเขือเทศหรือเปล่า?
diplomat,ทูต,n.,The diplomat negotiated a peace treaty.,นักการทูตได้เจรจาสนธิสัญญาสันติภาพ
diplomatic,การทูต,n.,Their diplomatic approach eased tensions.,แนวทางการทูตของพวกเขาช่วยคลายความตึงเครียด
directory,ไดเรกทอรี,n.,Check the directory for their contact information.,ตรวจสอบไดเรกทอรีเพื่อดูข้อมูลติดต่อ
disastrous,หายนะ,adj.,The storm had disastrous consequences.,พายุมีผลกระทบร้ายแรง
discard,ทิ้ง,v.,It's time to discard old belongings.,ถึงเวลาทิ้งของเก่า
discharge,ปล่อย,v.,The battery is ready for discharge.,แบตเตอรี่พร้อมสำหรับการคายประจุ
disclose,เปิดเผย,v.,She decided to disclose the truth.,เธอตัดสินใจเปิดเผยความจริง
discourse,วาทกรรม,n.,We had a thoughtful discourse.,เรามีวาทกรรมที่รอบคอบ
discretion,ดุลยพินิจ,n.,Use discretion when handling sensitive information.,ใช้ดุลยพินิจในการจัดการข้อมูลที่ละเอียดอ่อน
discrimination,การเลือกปฏิบัติ,n.,Discrimination is unacceptable.,การเลือกปฏิบัติเป็นสิ่งที่ยอมรับไม่ได้
dismissal,การเลิกจ้าง,n.,His dismissal from the job was unexpected.,เขาถูกไล่ออกจากงานอย่างไม่คาดคิด
displace,แทนที่,v.,They plan to displace the old furniture.,พวกเขาวางแผนที่จะแทนที่เฟอร์นิเจอร์เก่า
dispose,ทิ้ง,v.,Dispose of the garbage properly.,กำจัดขยะอย่างเหมาะสม
dispute,ข้อพิพาท,n./ v.,Can you help resolve the dispute?,คุณช่วยแก้ไขข้อโต้แย้งได้ไหม?
disrupt,รบกวน,v.,The construction work disrupts our peace.,งานก่อสร้างขัดขวางความสงบสุขของเรา
dissolve,ละลาย,v.,The chemical will dissolve in water.,สารเคมีจะละลายในน้ำ
distinction,ความแตกต่าง,n.,The distinction between the two is clear.,ความแตกต่างระหว่างทั้งสองนั้นชัดเจน
distinctive,โดดเด่น,adj.,Her dress had a distinctive design.,การแต่งกายของเธอมีดีไซน์ที่โดดเด่น
distort,บิดเบือน,v.,Don't distort the facts.,อย่าบิดเบือนข้อเท็จจริง
distress,ความทุกข์,n./ v.,She's in distress; let's help her.,เธออยู่ในความทุกข์ยาก มาช่วยเธอกันเถอะ
disturbing,รบกวน,adj.,The loud music is disturbing.,เสียงเพลงดังรบกวนใจ
divert,เบี่ยงเบนความสนใจ,v.,Can you divert the traffic?,คุณสามารถเปลี่ยนเส้นทางการจราจรได้หรือไม่?
divine,ศักดิ์สิทธิ์,adj.,Many consider nature as divine.,หลายคนถือว่าธรรมชาติเป็นสิ่งศักดิ์สิทธิ์
doctrine,หลักคำสอน,n.,They follow a strict doctrine.,พวกเขาปฏิบัติตามหลักคำสอนที่เข้มงวด
documentation,เอกสารประกอบ,n.,Keep all the documentation organized.,จัดเก็บเอกสารทั้งหมดให้เป็นระเบียบ
dominance,การปกครอง,n.,Their dominance in the industry is evident.,ความโดดเด่นในอุตสาหกรรมนี้ปรากฏชัด
donor,ผู้บริจาค,n.,The blood bank needs a donor.,ธนาคารเลือดต้องการผู้บริจาค
dose,ปริมาณ,n.,Take a small dose of medicine.,รับประทานยาในปริมาณเล็กน้อย
drain,ท่อระบายน้ำ,v.,Drain the water from the sink.,ระบายน้ำออกจากอ่างล้างจาน
drift,ดริฟท์,v.,The driftwood washed ashore.,เศษไม้ที่ถูกซัดขึ้นฝั่ง
driving,การขับรถ,adj.,Driving at night can be dangerous if you're tired.,การขับรถตอนกลางคืนอาจเป็นอันตรายได้หากคุณรู้สึกเหนื่อย
drown,จมน้ำตาย,v.,Be careful not to drown.,ระวังอย่าให้จมน้ำ
dual,คู่,adj.,They make a great dual team.,พวกเขาสร้างทีมคู่ที่ยอดเยี่ยม
dub,พากย์,v.,"Let's dub it the ""Super Squad.""","ลองขนานนามมันว่า ""Super Squad"""
dumb,โง่,adj.,His silence made him seem dumb.,ความเงียบของเขาทำให้เขาดูโง่
duo,คู่หู,n.,The musical duo performed last night.,นักดนตรีคู่แสดงเมื่อคืนนี้
dynamic,พลวัต,n.,The dynamic duo never disappoints.,คู่ไดนามิกไม่เคยทำให้ผิดหวัง
eager,กระตือรือร้น,adj.,She's eager to start the project.,เธอกระตือรือร้นที่จะเริ่มโครงการ
earnings,รายได้,n.,His earnings have increased.,รายได้ของเขาเพิ่มขึ้น
ease,ผ่อนปรน,n./ v.,Find a way to ease your stress.,หาวิธีคลายเครียด.
echo,เสียงสะท้อน,v./ n.,Her voice echoed through the canyon.,เสียงของเธอสะท้อนผ่านหุบเขา
ecological,นิเวศวิทยา,adj.,Ecological issues concern us all.,ปัญหาทางนิเวศวิทยาเกี่ยวข้องกับเราทุกคน
educator,นักการศึกษา,n.,He's a dedicated educator.,เขาเป็นนักการศึกษาที่ทุ่มเท
efficiency,ประสิทธิภาพ,n.,Improving efficiency is our goal.,การปรับปรุงประสิทธิภาพคือเป้าหมายของเรา
ego,อาตมา,n.,Don't let your ego get in the way.,อย่าปล่อยให้อัตตาของคุณเข้ามาขวางทาง
elaborate,ขยายความ,adj.,Elaborate on your idea to provide more details.,อธิบายแนวคิดของคุณอย่างละเอียดเพื่อให้รายละเอียดเพิ่มเติม
electoral,การเลือกตั้ง,adj.,The electoral process allows citizens to vote.,กระบวนการเลือกตั้งเปิดโอกาสให้ประชาชนสามารถลงคะแนนเสียงได้
elevate,ยกระดับ,v.,Elevate your skills through continuous learning.,ยกระดับทักษะของคุณผ่านการเรียนรู้อย่างต่อเนื่อง
eligible,มีสิทธิ์,adj.,Are you eligible to vote in this election?,คุณมีสิทธิ์ลงคะแนนเสียงในการเลือกตั้งครั้งนี้หรือไม่?
elite,ผู้ลากมากดี,n.,The elite athletes trained rigorously.,นักกีฬาชั้นยอดฝึกฝนอย่างเข้มงวด
embark,เริ่มดำเนินการ,v.,We will embark on a new adventure.,เราจะเริ่มต้นการผจญภัยครั้งใหม่
embarrassment,ความลำบากใจ,n.,His mistake caused great embarrassment.,ความผิดพลาดของเขาทำให้เกิดความอับอายอย่างมาก
embassy,สถานทูต,n.,The embassy represents our country abroad.,สถานทูตเป็นตัวแทนของประเทศของเราในต่างประเทศ
embed,ฝัง,v.,Embed the code into the website.,ฝังโค้ดลงในเว็บไซต์
embody,รวบรวม,v.,Her actions embody the values of our company.,การกระทำของเธอสะท้อนให้เห็นถึงคุณค่าของบริษัทของเรา
emergence,การเกิดขึ้น,n.,The emergence of new technology is exciting.,การเกิดขึ้นของเทคโนโลยีใหม่เป็นเรื่องที่น่าตื่นเต้น
empirical,เชิงประจักษ์,adj.,Their claims are based on empirical evidence.,คำกล่าวอ้างของพวกเขาอยู่บนพื้นฐานของหลักฐานเชิงประจักษ์
empower,ให้อำนาจ,v.,Empower others to make positive changes.,มอบอำนาจให้ผู้อื่นทำการเปลี่ยนแปลงเชิงบวก
enact,ออกกฎหมาย,v.,They plan to enact new legislation.,พวกเขาวางแผนที่จะตรากฎหมายใหม่
encompass,ห้อมล้อม,v.,His vision can encompass the entire industry.,วิสัยทัศน์ของเขาสามารถครอบคลุมทั้งอุตสาหกรรม
encouragement,กำลังใจ,n.,She provides encouragement to her team.,เธอให้กำลังใจทีมของเธอ
encouraging,ให้กำลังใจ,adj.,Your encouraging words boost morale.,คำพูดให้กำลังใจของคุณช่วยเพิ่มขวัญกำลังใจ
endeavour,พยายาม,n.,We will endeavour to complete the project on time.,เราจะพยายามทำโครงการให้เสร็จตรงเวลา
endless,ไม่มีที่สิ้นสุด,adj.,The possibilities are endless.,ความเป็นไปได้ไม่มีที่สิ้นสุด
endorse,รับรอง,v.,Many endorse this candidate for president.,หลายคนสนับสนุนผู้สมัครชิงตำแหน่งประธานาธิบดีรายนี้
endorsement,การรับรอง,n.,The endorsement of the product was influential.,การรับรองผลิตภัณฑ์มีอิทธิพล
endure,อดทน,v.,Endure hardships to reach your goals.,อดทนต่อความยากลำบากเพื่อบรรลุเป้าหมายของคุณ
enforce,บังคับใช้,v.,Enforce the rules to maintain order.,บังคับใช้กฎเพื่อรักษาความสงบเรียบร้อย
enforcement,การบังคับใช้,n.,Law enforcement plays a vital role.,การบังคับใช้กฎหมายมีบทบาทสำคัญ
engagement,การว่าจ้าง,n.,Their engagement was a beautiful ceremony.,การหมั้นของพวกเขาเป็นพิธีที่สวยงาม
engaging,มีส่วนร่วม,adj.,Their engaging presentation captivated the audience.,การนำเสนอที่น่าดึงดูดทำให้ผู้ชมหลงใหล
enquire,สอบถาม,v.,Feel free to enquire about any concerns.,อย่าลังเลที่จะสอบถามเกี่ยวกับข้อกังวลใด ๆ
enrich,เสริมสร้าง,v.,Enrich your life with meaningful experiences.,เติมเต็มชีวิตของคุณด้วยประสบการณ์ที่มีความหมาย
enrol,ลงทะเบียนเรียน,v.,Enroll in the course to learn new skills.,ลงทะเบียนเรียนในหลักสูตรเพื่อเรียนรู้ทักษะใหม่ๆ
ensue,ตามมา,v.,"After the meeting, a productive discussion ensued.",หลังการประชุม ก็มีการอภิปรายอย่างมีประสิทธิผลเกิดขึ้น
enterprise,องค์กร,n.,The enterprise aims for growth and success.,องค์กรมีเป้าหมายเพื่อการเติบโตและความสำเร็จ
enthusiast,ผู้ที่กระตือรือร้น,n.,He's an enthusiastic supporter of the team.,เขาเป็นผู้สนับสนุนทีมอย่างกระตือรือร้น
entitle,สิทธิ,v.,Entitle yourself to the benefits of membership.,ให้สิทธิ์ตัวเองในการรับสิทธิประโยชน์ของการเป็นสมาชิก
entity,เอนทิตี,n.,A corporation is a separate legal entity.,บริษัทเป็นนิติบุคคลแยกต่างหาก
epidemic,การระบาด,n.,The epidemic spread rapidly.,โรคระบาดแพร่กระจายอย่างรวดเร็ว
equality,ความเท่าเทียมกัน,n.,Equality is a fundamental human right.,ความเสมอภาคถือเป็นสิทธิมนุษยชนขั้นพื้นฐาน
equation,สมการ,n.,Solve the mathematical equation.,แก้สมการทางคณิตศาสตร์
erect,ตั้งตรง,v.,They will erect a new building.,พวกเขาจะสร้างอาคารใหม่
escalate,บานปลาย,v.,Tensions escalated between the two countries.,ความตึงเครียดระหว่างทั้งสองประเทศเพิ่มสูงขึ้น
essence,สาระสำคัญ,n.,The essence of the story is its message.,แก่นแท้ของเรื่องราวคือข้อความของมัน
establishment,สถานประกอบการ,n.,The establishment has been in business for decades.,สถานประกอบการดำเนินธุรกิจมานานหลายทศวรรษ
eternal,นิรันดร์,adj.,Love can feel eternal.,ความรักสามารถรู้สึกได้ชั่วนิรันดร์
evacuate,อพยพ,v.,"In case of emergency, evacuate the building.",ในกรณีฉุกเฉินให้อพยพออกจากอาคาร
evoke,ทำให้เกิด,v.,Her speech can evoke strong emotions.,คำพูดของเธอสามารถกระตุ้นอารมณ์ที่รุนแรงได้
evolutionary,วิวัฒนาการ,adj.,The theory is part of the evolutionary process.,ทฤษฎีนี้เป็นส่วนหนึ่งของกระบวนการวิวัฒนาการ
exaggerate,พูดเกินจริง,v.,Don't exaggerate the facts.,อย่าพูดเกินความจริง
excellence,ความเป็นเลิศ,n.,Strive for excellence in everything you do.,มุ่งมั่นสู่ความเป็นเลิศในทุกสิ่งที่คุณทำ
exceptional,พิเศษ,adj.,She's an exceptional athlete.,เธอเป็นนักกีฬาที่โดดเด่น
excess,ส่วนเกิน,n./ adj.,Too much of anything is an excess.,อะไรที่มากเกินไปก็คือส่วนเกิน
exclusion,การยกเว้น,n.,The exclusion of certain groups is unfair.,การยกเว้นกลุ่มบางกลุ่มนั้นไม่ยุติธรรม
exclusive,พิเศษ,adj.,This club is exclusive to members only.,คลับนี้เป็นเอกสิทธิ์เฉพาะสมาชิกเท่านั้น
exclusively,โดยเฉพาะ,adv.,The event is by invitation exclusively.,งานนี้จัดขึ้นตามคำเชิญเท่านั้น
execute,ดำเนินการ,v.,They will execute the plan tomorrow.,พวกเขาจะดำเนินการตามแผนพรุ่งนี้
execution,การดำเนินการ,n.,The execution of the project was flawless.,การดำเนินโครงการเป็นไปอย่างไม่มีที่ติ
exert,ออกแรง,v.,Exert more effort to achieve your goals.,ใช้ความพยายามมากขึ้นเพื่อให้บรรลุเป้าหมายของคุณ
exile,เนรเทศ,n.,He lived in exile for years.,เขาอาศัยอยู่ถูกเนรเทศเป็นเวลาหลายปี
exit,ออก,v.,Use the exit in case of an emergency.,ใช้ทางออกในกรณีฉุกเฉิน
expenditure,ค่าใช้จ่าย,n.,The company's expenditure is carefully monitored.,มีการติดตามการใช้จ่ายของบริษัทอย่างรอบคอบ
experimental,ทดลอง,adj.,They conducted an experimental study.,พวกเขาได้ทำการศึกษาเชิงทดลอง
expire,หมดอายุ,v.,Your membership will expire soon.,สมาชิกภาพของคุณจะหมดอายุเร็วๆ นี้
explicit,ชัดเจน,adj.,Be explicit in your instructions.,มีความชัดเจนในคำแนะนำของคุณ
explicitly,อย่างชัดเจน,adv.,She stated her intentions explicitly.,เธอแสดงเจตจำนงของเธออย่างชัดเจน
exploitation,การแสวงหาผลประโยชน์,n.,Exploitation of workers is unethical.,การแสวงหาผลประโยชน์จากคนงานเป็นสิ่งที่ผิดจรรยาบรรณ
explosive,ระเบิด,adj./ n.,The chemical reaction can be explosive.,ปฏิกิริยาเคมีสามารถระเบิดได้
extract,สารสกัด,v.,Extract the relevant information from the document.,แยกข้อมูลที่เกี่ยวข้องออกจากเอกสาร
extremist,พวกหัวรุนแรง,n.,Some groups are considered extremist.,บางกลุ่มถือเป็นกลุ่มหัวรุนแรง
facilitate,อำนวยความสะดวก,v.,The conference will facilitate networking.,การประชุมจะอำนวยความสะดวกในการสร้างเครือข่าย
faction,ฝ่าย,n.,A faction within the organization is causing problems.,ฝ่ายภายในองค์กรกำลังก่อให้เกิดปัญหา
faculty,คณะ,n.,The university's faculty is highly regarded.,คณาจารย์ของมหาวิทยาลัยได้รับการยกย่องอย่างสูง
fade,จางหายไป,v.,Colors may fade over time.,สีอาจจางหายไปตามกาลเวลา
fairness,ความเป็นธรรม,n.,Fairness is essential in any competition.,ความเป็นธรรมเป็นสิ่งสำคัญในการแข่งขัน
fatal,ร้ายแรง,adj.,The accident was fatal.,อุบัติเหตุครั้งนี้มีผู้เสียชีวิต
fate,โชคชะตา,n.,Our fate is in our own hands.,ชะตากรรมของเราอยู่ในมือของเราเอง
favourable,ดี,adj.,favourable,ดี
feat,ความสำเร็จ,n.,Achieving that milestone was a remarkable feat.,การบรรลุเป้าหมายดังกล่าวถือเป็นความสำเร็จอันน่าทึ่ง
feminist,สตรีนิยม,adj./ n.,She's a strong advocate for feminist causes.,เธอเป็นผู้สนับสนุนอย่างแข็งขันสำหรับประเด็นสตรีนิยม
fibre,เส้นใย,n.,This fabric is made of natural fibers.,ผ้านี้ทำจากเส้นใยธรรมชาติ
fierce,ดุร้าย,adj.,The competition in the market is fierce.,การแข่งขันในตลาดมีความรุนแรง
film-maker,ผู้สร้างภาพยนตร์,n.,The film-maker won an award.,ผู้สร้างภาพยนตร์ได้รับรางวัล
filter,กรอง,n./ v.,Use a filter to purify the water.,ใช้ตัวกรองเพื่อทำให้น้ำบริสุทธิ์
fine,ดี,n./ v.,Pay the fine for the parking ticket.,ชำระค่าปรับสำหรับบัตรจอดรถ
firearm,อาวุธปืน,n.,He owns a firearm for self-defense.,เขาเป็นเจ้าของอาวุธปืนสำหรับการป้องกันตัว
fit,พอดี,n.,Is the dress a good fit for you?,ชุดนี้เหมาะกับคุณหรือเปล่า?
fixture,อุปกรณ์ติดตั้ง,n.,The fixture in the room is antique.,อุปกรณ์ติดตั้งในห้องเป็นของโบราณ
flaw,ข้อบกพร่อง,n.,There's a small flaw in the plan.,มีข้อบกพร่องเล็กน้อยในแผน
flawed,มีข้อบกพร่อง,adj.,The report was flawed and had to be revised.,รายงานมีข้อบกพร่องและต้องได้รับการแก้ไข
flee,หนีไป,v.,Flee from danger as quickly as possible.,หลบหนีจากอันตรายโดยเร็วที่สุด
fleet,กองทัพเรือ,n.,The company has a large fleet of vehicles.,บริษัทมียานพาหนะจำนวนมาก
flesh,เนื้อ,n.,The knife cut through the flesh.,มีดแทงทะลุเนื้อ
flexibility,ความยืดหยุ่น,n.,Flexibility is essential in adapting to change.,ความยืดหยุ่นถือเป็นสิ่งสำคัญในการปรับตัวต่อการเปลี่ยนแปลง
flourish,เจริญรุ่งเรือง,v.,The business began to flourish.,กิจการก็เริ่มเจริญรุ่งเรือง
fluid,ของเหลว,n.,Pour the fluid into the container.,เทของเหลวลงในภาชนะ
footage,ภาพ,n.,They captured the footage of the event.,พวกเขาจับภาพเหตุการณ์ไว้ได้
foreigner,ชาวต่างชาติ,n.,The conference attracted foreigner attendees.,การประชุมดังกล่าวดึงดูดผู้เข้าร่วมงานจากต่างประเทศ
forge,ปลอม,v.,They plan to forge a strong partnership.,พวกเขาวางแผนที่จะสร้างความร่วมมือที่แข็งแกร่ง
formula,สูตร,n.,Scientists use a formula to calculate results.,นักวิทยาศาสตร์ใช้สูตรในการคำนวณผลลัพธ์
forth,ออกไป,adv.,He will be here forthwith.,เขาจะมาที่นี่ทันที
forthcoming,เตรียมพร้อม,adj.,The forthcoming book will be exciting.,หนังสือเล่มที่กำลังจะมาถึงจะน่าตื่นเต้น
foster,อุปถัมภ์,v.,Foster a sense of community among team members.,ส่งเสริมความรู้สึกของชุมชนในหมู่สมาชิกในทีม
fragile,บอบบาง,adj.,Fragile items should be handled with care.,สิ่งของที่เปราะบางควรได้รับการดูแลด้วยความระมัดระวัง
franchise,แฟรนไชส์,n.,The restaurant is part of a popular franchise.,ร้านอาหารเป็นส่วนหนึ่งของแฟรนไชส์ยอดนิยม
frankly,ตรงไปตรงมา,adv.,"Frankly, I'm not sure about the answer.",ตรงไปตรงมาฉันไม่แน่ใจเกี่ยวกับคำตอบ
frustrated,คับข้องใจ,adj.,She felt frustrated with the slow progress.,เธอรู้สึกหงุดหงิดกับความก้าวหน้าที่ช้า
functional,ใช้งานได้,adj.,The machine is functional again.,เครื่องกลับมาใช้งานได้อีกครั้ง
fundraising,การระดมทุน,n.,They organized a fundraising event.,พวกเขาจัดกิจกรรมระดมทุน
funeral,งานศพ,n.,The funeral service was somber.,งานศพเป็นไปอย่างอึมครึม
gallon,แกลลอน,n.,I need a gallon of milk from the store.,ฉันต้องการนมหนึ่งแกลลอนจากร้านค้า
gambling,การพนัน,n.,Gambling can be addictive.,การพนันสามารถเสพติดได้
gathering,การรวบรวม,n.,The gathering was a joyous occasion.,การชุมนุมเป็นโอกาสอันน่ายินดี
gaze,จ้องมอง,n./ v.,Their gaze met across the room.,สายตาของพวกเขาสบกันทั่วห้อง
gear,เกียร์,n.,Adjust the gear for a smoother ride.,ปรับเกียร์เพื่อการขับขี่ที่นุ่มนวลยิ่งขึ้น
generic,ทั่วไป,adj.,The medication is available in generic form.,ยานี้มีอยู่ในรูปแบบทั่วไป
genocide,การฆ่าล้างเผ่าพันธุ์,n.,The genocide in history was tragic.,การฆ่าล้างเผ่าพันธุ์ในประวัติศาสตร์เป็นเรื่องน่าเศร้า
glance,เหลือบมอง,n./ v.,He gave her a quick glance.,เขามองเธออย่างรวดเร็ว
glimpse,เหลือบ,n.,He caught a glimpse of the sunset.,เขามองเห็นพระอาทิตย์ตกดิน
glorious,รุ่งโรจน์,adj.,The view from the mountaintop was glorious.,วิวจากยอดเขานั้นงดงามมาก
glory,สง่าราศี,n.,The team basked in the glory of victory.,ทีมได้รับชัยชนะอย่างรุ่งโรจน์
governance,การกำกับดูแล,n.,Good governance is essential for a country.,ธรรมาภิบาลเป็นสิ่งสำคัญสำหรับประเทศ
grace,พระคุณ,n.,She danced with grace and elegance.,เธอเต้นรำด้วยความสง่างามและสง่างาม
grasp,เข้าใจ,v./ n.,He couldn't grasp the concept.,เขาไม่เข้าใจแนวคิดนี้
grave,หลุมฝังศพ,n.,We visited her grave to pay our respects.,เราไปเยี่ยมหลุมศพของเธอเพื่อแสดงความเคารพ
grave,หลุมฝังศพ,adj.,They faced grave consequences for their actions.,พวกเขาต้องเผชิญกับผลที่ตามมาอย่างร้ายแรงจากการกระทำของพวกเขา
gravity,แรงโน้มถ่วง,n.,The situation has serious gravity.,สถานการณ์มีความรุนแรง
grid,ตาราง,n.,The city has a well-organized grid system.,เมืองมีระบบกริดที่มีการจัดการอย่างดี
grief,ความเศร้าโศก,n.,She was overcome with grief.,เธอจมอยู่กับความโศกเศร้า
grin,ยิ้ม,v./ n.,His grin showed his happiness.,รอยยิ้มของเขาแสดงถึงความสุขของเขา
grind,บด,v.,He had to grind the coffee beans.,เขาต้องบดเมล็ดกาแฟ
grip,ด้ามจับ,n./ v.,Maintain a firm grip on the rope.,จับเชือกให้มั่นคง
gross,ทั้งหมด,adj.,The company's gross revenue increased.,รายได้รวมของบริษัทเพิ่มขึ้น
guerrilla,กองโจร,n.,Guerrilla fighters operate in small units.,เครื่องบินรบแบบกองโจรปฏิบัติการในหน่วยขนาดเล็ก
guidance,คำแนะนำ,n.,Seek guidance from experienced mentors.,ขอคำแนะนำจากพี่เลี้ยงที่มีประสบการณ์
guilt,ความรู้สึกผิด,n.,He felt a deep sense of guilt.,เขารู้สึกผิดอย่างลึกซึ้ง
gut,ลำไส้,n.,Trust your gut instincts.,เชื่อสัญชาตญาณลำไส้ของคุณ
hail,ลูกเห็บ,v.,Hail can damage crops.,ลูกเห็บสามารถทำลายพืชผลได้
halfway,ครึ่งทาง,adv.,We're only halfway through the project.,เราเพิ่งผ่านมาได้เพียงครึ่งทางของโครงการเท่านั้น
halt,หยุด,v./ n.,Halt the production until further notice.,หยุดการผลิตจนกว่าจะมีประกาศแจ้งให้ทราบต่อไป
handful,กำมือ,n.,She grabbed a handful of candy.,เธอหยิบขนมมาหนึ่งกำมือ
handling,การจัดการ,n.,Proper handling of fragile items is crucial.,การจัดการสิ่งของที่เปราะบางอย่างเหมาะสมถือเป็นสิ่งสำคัญ
handy,มีประโยชน์,adj.,Having a toolbox is handy for repairs.,การมีกล่องเครื่องมือก็สะดวกสำหรับการซ่อมแซม
harassment,การล่วงละเมิด,n.,Harassment in the workplace is unacceptable.,การล่วงละเมิดในที่ทำงานเป็นสิ่งที่ยอมรับไม่ได้
harmony,ความสามัคคี,n.,The choir sang in perfect harmony.,คณะนักร้องประสานเสียงร้องเพลงประสานกันอย่างสมบูรณ์แบบ
harsh,รุนแรง,adj.,The teacher's harsh words upset the students.,คำพูดที่รุนแรงของครูทำให้นักเรียนไม่พอใจ
harvest,เก็บเกี่ยว,n./ v.,It's time to harvest the ripe fruits.,ถึงเวลาเก็บเกี่ยวผลสุกแล้ว
hatred,ความเกลียดชัง,n.,Hatred only leads to conflict.,ความเกลียดชังนำไปสู่ความขัดแย้งเท่านั้น
haunt,หลอกหลอน,v.,The memory of the accident can haunt you.,ความทรงจำเรื่องอุบัติเหตุอาจหลอกหลอนคุณ
hazard,อันตราย,n.,Be cautious of the hazard ahead.,ระวังอันตรายข้างหน้าด้วย
