Word,Translation
testing,การทดสอบ
textbook,หนังสือเรียน
theft,ขโมย
therapist,นักบำบัด
thesis,วิทยานิพนธ์
thorough,อย่างละเอียด
thumb,นิ้วหัวแม่มือ
timing,เวลา
tissue,เนื้อเยื่อ
ton,ตัน
tonne,ตัน
tournament,ทัวร์นาเมนต์
trace,ติดตาม
trading,การซื้อขาย
tragedy,โศกนาฏกรรม
tragic,น่าเศร้า
trait,ลักษณะ
transmit,ส่ง
transportation,การขนส่ง
trap,กับดัก
treasure,สมบัติ
tribe,ชนเผ่า
trigger,สิ่งกระตุ้น
trillion,ล้านล้าน
troop,กองทหาร
tsunami,สึนามิ
ultimate,สุดยอด
unacceptable,ยอมรับไม่ได้
uncertainty,ความไม่แน่นอน
undergo,ประสบ
undertake,ดำเนินการ
unfold,แฉ
unfortunate,โชคร้าย
unite,รวมกัน
unity,ความสามัคคี
universal,สากล
urgent,ด่วน
usage,การใช้งาน
useless,ไร้ประโยชน์
valid,ถูกต้อง
variation,การเปลี่ยนแปลง
vertical,แนวตั้ง
viewpoint,มุมมอง
visa,วีซ่า
visible,มองเห็นได้
voluntary,โดยสมัครใจ
voting,โหวต
wander,เดินเตร่
warming,ภาวะโลกร้อน
weekly,รายสัปดาห์
weird,แปลก
welfare,สวัสดิการ
wheat,ข้าวสาลี
whoever,ใครก็ตาม
widespread,แพร่หลาย
wisdom,ภูมิปัญญา
withdraw,ถอน
workforce,แรงงาน
workplace,ที่ทำงาน
workshop,การประชุมเชิงปฏิบัติการ
worm,หนอน
wrist,ข้อมือ
